course_code	slug	target_lang	pricing_tier	voice	origin	clips	d_min	d_max	vpass	vfail	vnull	dangling
dan_for_eng	pod-0	dan	free	gwnexu6y	tts	8	2026-06-08	2026-06-19	0	0	8	0
dan_for_eng	pod-0	dan	free	eve	tts	12	2026-06-08	2026-06-10	0	0	12	0
dan_for_eng	pod-0	dan	free	xai_ara	tts	4	2026-06-10	2026-06-10	0	0	4	0
dan_for_eng	pod-0	dan	free	97zmdc6s	tts	17	2026-06-10	2026-06-10	0	0	17	0
dan_for_eng	pod-0	dan	free	xai_eve	tts	2	2026-06-10	2026-06-10	0	0	2	0
dan_for_eng	pod-0-unrecorded	dan	free	eve	tts	7	2026-06-08	2026-06-10	0	0	7	0
dan_for_eng	pod-0-unrecorded	dan	free	ara	tts	28	2026-06-08	2026-06-10	0	0	28	0
dan_for_eng	pod-0-unrecorded	dan	free	0ih5oi34	tts	45	2026-06-08	2026-06-19	0	0	45	0
dan_for_eng	pod-0-unrecorded	dan	free	gwnexu6y	tts	5	2026-06-08	2026-06-19	0	0	5	0
dan_for_eng	pod-0-unrecorded	dan	free	xai_ara	tts	3	2026-06-10	2026-06-10	0	0	3	0
dan_for_eng	pod-0-unrecorded	dan	free	97zmdc6s	tts	13	2026-06-10	2026-06-10	0	0	13	0
dan_for_eng	pod-0-unrecorded	dan	free	xai_eve	tts	1	2026-06-10	2026-06-10	0	0	1	0
deu_at_for_eng	pod-0	deu	premium	xai_44c91d64	tts	33	2026-08-07	2026-08-08	0	0	33	0
deu_at_for_eng	pod-0	deu	premium	xai_e1fc5a89	tts	67	2026-08-07	2026-08-08	0	0	67	0
deu_for_eng	pod-0	deu	premium	41321eb41295	tts	46	2026-06-08	2026-06-10	0	0	46	0
deu_for_eng	pod-0	deu	premium	40f31906b23d	tts	10	2026-06-08	2026-06-10	0	0	10	0
deu_for_eng	pod-0	deu	premium	3a7889066fa2	tts	47	2026-06-08	2026-06-19	0	0	47	0
deu_for_eng	pod-0	deu	premium	xai_ara	tts	2	2026-06-10	2026-06-10	0	0	2	0
deu_for_eng	pod-0	deu	premium	ara	tts	12	2026-06-10	2026-06-10	0	0	12	0
deu_for_eng	pod-0	deu	premium	458705c07139	tts	17	2026-06-10	2026-06-19	0	0	17	0
deu_for_eng	pod-0	deu	premium	xai_eve	tts	2	2026-06-10	2026-06-10	0	0	2	0
deu_for_eng	pod-0	deu	premium	eve	tts	6	2026-06-10	2026-06-10	0	0	6	0
deu_for_eng	pod-0-unrecorded	deu	premium	40f31906b23d	tts	10	2026-06-08	2026-06-10	0	0	10	0
deu_for_eng	pod-0-unrecorded	deu	premium	3a7889066fa2	tts	36	2026-06-08	2026-06-19	0	0	36	0
deu_for_eng	pod-0-unrecorded	deu	premium	ara	tts	10	2026-06-10	2026-06-10	0	0	10	0
deu_for_eng	pod-0-unrecorded	deu	premium	458705c07139	tts	14	2026-06-10	2026-06-19	0	0	14	0
deu_for_eng	pod-0-unrecorded	deu	premium	xai_ara	tts	2	2026-06-10	2026-06-10	0	0	2	0
deu_for_eng	pod-0-unrecorded	deu	premium	eve	tts	4	2026-06-10	2026-06-10	0	0	4	0
deu_for_eng	pod-0-unrecorded	deu	premium	41321eb41295	tts	41	2026-06-10	2026-06-10	0	0	41	0
deu_for_eng	pod-0-unrecorded	deu	premium	xai_eve	tts	2	2026-06-10	2026-06-10	0	0	2	0
deu_for_jpn	pod-0	deu	premium	40f31906b23d	tts	10	2026-06-08	2026-06-10	0	0	10	0
deu_for_jpn	pod-0	deu	premium	41321eb41295	tts	46	2026-06-08	2026-06-10	0	0	46	0
deu_for_jpn	pod-0	deu	premium	xai_eve	tts	1	2026-06-10	2026-06-10	0	0	1	0
deu_for_jpn	pod-0	deu	premium	3a7889066fa2	tts	47	2026-06-10	2026-06-10	0	0	47	0
deu_for_jpn	pod-0	deu	premium	ara	tts	12	2026-06-10	2026-06-10	0	0	12	0
deu_for_jpn	pod-0	deu	premium	eve	tts	7	2026-06-10	2026-06-10	0	0	7	0
deu_for_jpn	pod-0	deu	premium	458705c07139	tts	17	2026-06-10	2026-06-19	0	0	17	0
deu_for_jpn	pod-0	deu	premium	xai_ara	tts	2	2026-06-10	2026-06-10	0	0	2	0
ell_for_eng	pod-0	ell	free	azure_el-GR-AthinaNeural	tts	3	2026-05-05	2026-06-10	0	0	3	0
ell_for_eng	pod-0	ell	free	el-GR-AthinaNeural	tts	67	2026-05-05	2026-07-16	0	0	67	0
ell_for_eng	pod-0	ell	free	el-GR-NestorasNeural	tts	65	2026-06-08	2026-07-16	0	0	65	0
ell_for_eng	pod-0	ell	free	azure_el-GR-NestorasNeural	tts	7	2026-06-10	2026-07-16	0	0	7	0
ell_for_eng	pod-0-unrecorded	ell	free	azure_el-GR-AthinaNeural	tts	2	2026-05-05	2026-06-10	0	0	2	0
ell_for_eng	pod-0-unrecorded	ell	free	el-GR-AthinaNeural	tts	53	2026-05-05	2026-07-16	0	0	53	0
ell_for_eng	pod-0-unrecorded	ell	free	el-GR-NestorasNeural	tts	56	2026-06-08	2026-07-16	0	0	56	0
ell_for_eng	pod-0-unrecorded	ell	free	azure_el-GR-NestorasNeural	tts	6	2026-06-10	2026-07-16	0	0	6	0
est_for_eng	pod-0	est	free	et-EE-AnuNeural	tts	63	2026-05-05	2026-06-19	0	0	63	0
est_for_eng	pod-0	est	free	azure_et-EE-KertNeural	tts	7	2026-06-08	2026-06-19	0	0	7	0
est_for_eng	pod-0	est	free	et-EE-KertNeural	tts	63	2026-06-08	2026-06-19	0	0	63	0
est_for_eng	pod-0	est	free	azure_et-EE-AnuNeural	tts	9	2026-06-10	2026-06-19	0	0	9	0
est_for_eng	pod-0-unrecorded	est	free	et-EE-AnuNeural	tts	56	2026-05-05	2026-06-19	0	0	56	0
est_for_eng	pod-0-unrecorded	est	free	et-EE-KertNeural	tts	54	2026-06-08	2026-06-19	0	0	54	0
