language	role	voice_id	display_name	clip_count	chars_per_sec	ratio_to_median
fra	target1	azure_fr-CA-SylvieNeural		15381	10.530	0.829
fra	target1	azure_fr-CA-JeanNeural		114	10.324	0.813
fra	target1	azure_fr-FR-DeniseNeural		4972	9.967	0.785
fra	target2	xai_leo		7475	19.006	1.665
fra	target2	fr-CA-AntoineNeural	Antoine	359	12.300	1.077
fra	target2	azure_fr-FR-HenriNeural		4300	11.417	1.000
fra	target2	azure_fr-CA-AntoineNeural		15191	10.635	0.932
fra	target2	azure_fr-FR-ClaudeNeural		4972	10.488	0.919
ga	pod_explainer	comp:leo		211	12.933	1.000
gle	target1	ga-IE-OrlaNeural	Orla	298	11.593	1.003
gle	target1	ga-IE-ColmNeural	Colm	253	11.559	1.000
gle	target1	azure_ga-IE-OrlaNeural		5934	11.281	0.976
gle	target2	azure_ga-IE-ColmNeural		5789	12.896	1.000
glg	target1	azure_gl-ES-SabelaNeural		3871	11.206	1.000
glg	target2	azure_gl-ES-RoiNeural		3871	11.435	1.000
gu	known	gu-IN-DhwaniNeural		130	7.136	1.000
guj	known	azure_gu-IN-DhwaniNeural		10263	7.351	1.000
guj	pod_explainer	gu-IN-DhwaniNeural		354	6.709	1.000
guj	presentation	azure_gu-IN-DhwaniNeural		2108	9.173	1.000
heb	target1	azure_he-IL-HilaNeural		4431	9.052	1.211
heb	target1	he-IL-HilaNeural	Hila	270	7.477	1.000
heb	target1	he-IL-AvriNeural	Avri	246	7.154	0.957
heb	target2	azure_he-IL-AvriNeural		4300	8.606	1.000
hi	known	xai_eve		122	13.240	1.228
hi	known	hi-IN-SwaraNeural		123	8.325	0.772
hi	pod_explainer	gfzdpspr5fdp	Tom	217	12.081	1.000
hi-IN	pod_take_g	89q2pnko	Karan	106	11.982	1.000
hin	known	eve	Eve	7289	13.894	1.012
hin	known	xai_eve		18015	13.573	0.988
hin	pod_explainer	hi-IN-SwaraNeural		302	6.427	1.000
hin	presentation	eve	Eve	2641	15.370	1.010
hin	presentation	xai_eve		4280	15.063	0.990
hin	target1	ara	Ara	102	14.084	1.149
hin	target1	xai_ara		135	12.873	1.050
hin	target1	azure_hi-IN-AartiNeural		4136	11.638	0.950
hin	target1	89q2pnko	Karan	143	10.497	0.857
hin	target2	azure_hi-IN-KunalNeural		4321	8.916	1.000
hr	pod_explainer	comp:leo		189	12.499	1.000
hr-HR	pod_explainer	hr-HR-GabrijelaNeural	Gabrijela	101	9.496	1.000
hr-HR	pod_take_g	EXAVITQu4vr4xnSDxMaL		213	15.748	1.206
hr-HR	pod_take_g	hr-HR-SreckoNeural	Srecko	142	10.370	0.794
hrv	target1	hr-HR-GabrijelaNeural	Gabrijela	1716	10.107	1.009
hrv	target1	hr-HR-SreckoNeural	Srecko	277	10.090	1.007
hrv	target1	azure_hr-HR-SreckoNeural		378	9.953	0.993
